阿富汗,Afghanistan,93
阿拉斯加,Alaska (U.S.A),1907
阿尔巴尼亚,Albania,355
阿尔及利亚,Algeria,213
安道尔,Andorra,376
安哥拉,Angola,244
安圭拉岛英),Anguilla I.,1264
安提瓜和巴布达,Antigua and Barbuda,1268
阿根廷,Argentina,54
亚美尼亚,Armenia,374
阿鲁巴岛,Aruba I.,297
阿森松(英),Ascension,247
澳大利亚,Australia,61
奥地利,Austria,43
阿塞拜疆,Azerbaijan,994
巴林,Bahrain,973
孟加拉国,Bangladesh,880
巴巴多斯,Barbados,1246
白俄罗斯,Belarus,375
比利时,Belgium,32
伯利兹,Belize,501
贝宁,Benin,229
百慕大群岛(英),Bermuda Is.,1441
不丹,Bhutan,975
玻利维亚,Bolivia,591
波斯尼亚和黑塞哥维那,Bosnia And Herzegovina,387
博茨瓦纳,Botswana,267
巴西,Brazil,55
保加利亚,Bulgaria,359
布基纳法索,Burkinafaso,226
布隆迪,Burundi,257
喀麦隆,Cameroon,237
加拿大,Canada,1
加那利群岛,Canaries Is.,34
佛得角,Cape Verde,238
开曼群岛(英),Cayman Is.,1345
中非,Central Africa,236
乍得,Chad,235
智利,Chile,56
圣诞岛,Christmas I.,61 9164
科科斯岛,Cocos I.,61 9162
哥伦比亚,Colombia,57
巴哈马国,Commonwealth of The Bahamas,1809
多米尼克国,Commonwealth of dominica,1809
科摩罗,Comoro,269
刚果,Congo,242
科克群岛(新),Cook IS.,682
哥斯达黎加,Costa?Rica,506
克罗地亚,Croatian,383 385
古巴,Cuba,53
塞浦路斯,Cyprus,357
捷克,Czech,420
丹麦,Denmark,45
迪戈加西亚岛,Diego Garcia I.,246
吉布提,Djibouti,253
多米尼加共和国,Dominican Rep.,1809
厄瓜多尔,Ecuador,593
埃及,Egypt,20
萨尔瓦多,El Salvador,503
赤道几内亚,Equatorial Guinea,240
厄立特里亚,Eritrea,291
爱沙尼亚,Estonia,372
埃塞俄比亚,Ethiopia,251
福克兰群岛,Falkland Is.,500
法罗群岛(丹),Faroe?Is.,298
斐济,Fiji,679
芬兰,Finland,358
法国,France,33
法属圭亚那,French Guiana,594
法属波里尼西亚,French Polynesia,689
加蓬,Gabon,241
冈比亚,Gambia,220
格鲁吉亚,Georgia,995
德国,Germany,49
加纳,Ghana,233
直布罗陀(英),Gibraltar,350
希腊,Greece,30
格陵兰岛,Greenland,299
格林纳达,Grenada,1809
瓜德罗普岛(法),Guadeloupe I.,590
关岛(美),Guam,671
危地马拉,Guatemala,502
几内亚,Guinea,224
几内亚比绍,Guinea-bissau,245
圭亚那,Guyana,592
海地,Haiti,509
夏威夷,Hawaii,1808
洪都拉斯,Honduras,504
匈牙利,HunGary,36
冰岛,Iceland,354
印度,India,91
印度尼西亚,Indonesia,62
伊郎,Iran,98
伊拉克,Iraq,964
爱尔兰,Ireland,353
以色列,Israel,972
意大利,Italy,39
科特迪瓦,Ivory Coast,225
牙买加,Jamaica,1876
日本,Japan,81
约旦,Jordan,962
柬埔塞,Kampuchea,855
哈萨克斯坦,Kazakhstan,7
肯尼亚,Kenya,254
基里巴斯,Kiribati,686
朝鲜,Korea (dpr of),850
韩国,Korea (republic of),82
科威特,Kuwait,965
吉尔吉斯斯坦,Kyrgyzstan,7
老挝,Laos,856
拉脱维亚,Latvia,371
黎巴嫩,Lebanon,961
莱索托,Lesotho,266
利比里亚,Liberia,231
利比亚,Libya,218
列支敦士登,Liechtenstein,41 75
立陶宛,Lithuania,370
卢森堡,Luxembourg,352
马其顿,Macedonia,389
马达加斯加,Madagascar,261
马拉维,Malawi,265
马来西亚,Malaysia,60
马尔代夫,Maldive,960
马里,Mali,223
马耳他,Malta,356
马里亚纳群岛,Mariana Is.,670
马绍尔群岛,Marshall Is.,692
马提尼克(法),Martinique,596
毛里塔尼亚,Mauritania,222
毛里求斯,Mauritius,230
马约特岛,Mayotte I.,269
墨西哥,Mexico,52
密克罗尼西亚(美),Micronesia,691
中途岛(美),Midway I.,1808
摩尔多瓦,Moldova,373
摩纳哥,Monaco,377
蒙古,Mongolia,976
蒙特塞拉特岛(英),Montserrat I.,1664
摩洛哥,Morocco,212
莫桑比克,Mozambique,258
缅甸,Myanmar,95
纳米比亚,Namibia,264
瑙鲁,Nauru,674
尼泊尔,Nepal,977
荷兰,Netherlands,31
荷属安的列斯群岛,Netherlandsantilles Is.,599
新喀里多尼亚群岛(法),New Caledonia Is.,687
新西兰,New Zealand,64
尼加拉瓜,Nicaragua,505
尼日尔,Niger,227
尼日利亚,Nigeria,234
纽埃岛(新),Niue I.,683
诺福克岛(澳),"Norfolk I,",6723
挪威,Norway,47
阿曼,Oman,968
帕劳(美),Palau,680
巴拿马,Panama,507
巴布亚新几内亚,Papua New Guinea,675
巴拉圭,Paraguay,595
秘鲁,Peru,51
菲律宾,Philippines,63
波兰,Poland,48
葡萄牙,Portugal,351
巴基斯坦,Pskistan,92
波多黎各(美),Puerto Rico,1787
卡塔尔,Qatar,974
留尼汪岛,Reunion I.,262
罗马尼亚,Rumania,40
俄罗斯,Russia,7
卢旺达,Rwanda,250
东萨摩亚(美),"Samoa ,Eastern",684
西萨摩亚,"Samoa ,Western",685
圣马力诺,San.Marino,378
圣皮埃尔岛及密克隆岛,San.Pierre And Miquelon I.,508
圣多美和普林西比,San.Tome And Principe,239
沙特阿拉伯,Saudi Arabia,966
塞内加尔,Senegal,221
塞舌尔,Seychelles,248
新加坡,Singapore,65
斯洛伐克,Slovak,421
斯洛文尼亚,Slovenia,386
所罗门群岛,Solomon Is.,677
索马里,Somali,252
南非,South Africa,27
西班牙,Spain,34
斯里兰卡,Sri Lanka,94
圣克里斯托弗和尼维斯,St.Christopher and Nevis,1809
圣赫勒拿,St.Helena,290
圣卢西亚,St.Lucia,1758
圣文森特岛(英),St.Vincent I.,1784
苏丹,Sudan,249
苏里南,Suriname,597
斯威士兰,Swaziland,268
瑞典,Sweden,46
瑞士,Switzerland,41
叙利亚,Syria,963
塔吉克斯坦,Tajikistan,7
坦桑尼亚,Tanzania,255
泰国,Thailand,66
阿拉伯联合酋长国,The United Arab Emirates,971
多哥,Togo,228
托克劳群岛(新),Tokelau Is.,690
汤加,Tonga,676
特立尼达和多巴哥,Trinidad and Tobago,1809
突尼斯,Tunisia,216
土耳其,Turkey,90
土库曼斯坦,Turkmenistan,993
特克斯和凯科斯群岛(,Turks and Caicos Is.,1809
图瓦卢,Tuvalu,688
美国,U.S.A,1
乌干达,Uganda,256
乌克兰,Ukraine,380
英国,United Kingdom,44
乌拉圭,Uruguay,598
乌兹别克斯坦,Uzbekistan,7
瓦努阿图,Vanuatu,678
梵蒂冈,Vatican,379
委内瑞拉,Venezuela,58
越南,Vietnam,84
维尔京群岛(英),Virgin Is.,1809
维尔京群岛和圣罗克伊,Virgin Is. and St.Croix I.,1809
威克岛(美),Wake I.,1808
瓦里斯和富士那群岛,Wallis And Futuna Is.,681
西撒哈拉,Western sahara,967
也门,Yemen,967
南斯拉夫,Yugoslavia,381
扎伊尔,Zaire,243
赞比亚,Zambia,260
桑给巴尔,Zanzibar,259
津巴布韦,Zimbabwe,263
中华人民共和国,China.,86
